feature,importance
EXT_SOURCE_3,256985.96537852287
EXT_SOURCE_2,212942.31051170826
ORGANIZATION_TYPE,140983.6676158905
EXT_SOURCE_1,91054.33260917664
OCCUPATION_TYPE,37058.88655090332
AMT_CREDIT,35804.03793716431
DAYS_BIRTH,28416.205642700195
DAYS_EMPLOYED,26446.488576889038
AMT_GOODS_PRICE,24545.24084854126
AMT_ANNUITY,21643.536202430725
DPD_max_LAST_360D,21311.264925956726
OWN_CAR_AGE,20378.968921661377
NAME_EDUCATION_TYPE,18109.485969543457
INSTALMENT_COUNT,17748.344242095947
CODE_GENDER,16764.344944000244
IS_LATE_mean,16044.024551391602
DAYS_ID_PUBLISH,14212.721645355225
DAYS_LAST_PHONE_CHANGE,12552.56861114502
LATE_DAYS_mean,12521.037963867188
DPD_max_LAST_90D,10282.361400604248
DPD_max_LAST_180D,9000.25832748413
DAYS_REGISTRATION,8998.99700164795
DPD_max,8130.881399154663
REGION_RATING_CLIENT_W_CITY,7892.0764236450195
FLAG_DOCUMENT_3,7208.061618804932
DPD_mean,7165.221086502075
IS_LATE_mean_LAST_360D,6828.033390045166
LATE_DAYS_sum_LAST_360D,6585.010326385498
DPD_mean_LAST_90D,6396.259010314941
NAME_CONTRACT_TYPE,6308.178863525391
NAME_FAMILY_STATUS,5984.710090637207
DPD_mean_LAST_180D,5717.280796051025
LATE_DAYS_mean_LAST_360D,5405.95418548584
EARLY_DAYS_max,5356.021892547607
REGION_POPULATION_RELATIVE,5162.804391860962
EARLY_DAYS_mean,5069.029993057251
AMT_INCOME_TOTAL,4861.741195678711
DPD_mean_LAST_360D,4776.297174453735
NUM_INSTALMENT_VERSION_nunique,4746.368915557861
DEF_60_CNT_SOCIAL_CIRCLE,4401.433811187744
WEEKDAY_APPR_PROCESS_START,4333.757392883301
EARLY_DAYS_std,4241.630206108093
DPD_std,4175.104793548584
AMT_REQ_CREDIT_BUREAU_YEAR,3543.8794384002686
TOTALAREA_MODE,3398.632106781006
AMT_REQ_CREDIT_BUREAU_QRT,3360.7009086608887
UNDERPAYMENT_mean,3322.9164066314697
LATE_DAYS_sum,3312.204647064209
YEARS_BEGINEXPLUATATION_MODE,3013.005126953125
REG_CITY_NOT_LIVE_CITY,2993.0798950195312
APARTMENTS_AVG,2892.318899154663
DEF_30_CNT_SOCIAL_CIRCLE,2828.3904876708984
APARTMENTS_MEDI,2759.1142902374268
IS_LATE_sum,2621.9507789611816
LIVINGAREA_AVG,2497.0803747177124
HOUR_APPR_PROCESS_START,2433.1777687072754
NONLIVINGAREA_MODE,2226.6915130615234
LATE_DAYS_mean_LAST_180D,2160.0298280715942
LIVINGAREA_MEDI,2087.4591064453125
OBS_30_CNT_SOCIAL_CIRCLE,2070.8837909698486
APARTMENTS_MODE,2014.5546188354492
NAME_HOUSING_TYPE,1932.6279106140137
LANDAREA_MODE,1907.9966068267822
NONLIVINGAREA_AVG,1885.3971004486084
IS_LATE_mean_LAST_180D,1793.2031965255737
YEARS_BEGINEXPLUATATION_AVG,1781.5697135925293
BASEMENTAREA_MODE,1735.8651084899902
COMMONAREA_AVG,1661.737283706665
LATE_DAYS_max_LAST_360D,1601.0491209030151
YEARS_BEGINEXPLUATATION_MEDI,1577.798791885376
LIVINGAPARTMENTS_MODE,1562.3008003234863
COMMONAREA_MODE,1553.755609512329
LIVINGAREA_MODE,1544.805793762207
WALLSMATERIAL_MODE,1544.6293029785156
LANDAREA_AVG,1505.4897060394287
OBS_60_CNT_SOCIAL_CIRCLE,1457.7569961547852
LANDAREA_MEDI,1451.220603942871
FLAG_WORK_PHONE,1449.4082775115967
FLOORSMAX_AVG,1438.1463928222656
LIVINGAPARTMENTS_AVG,1425.646884918213
BASEMENTAREA_AVG,1391.1241970062256
YEARS_BUILD_AVG,1376.1904029846191
YEARS_BUILD_MODE,1329.330623626709
