feature,importance,source
ANNUITY_CREDIT_RATIO,1291,Principal
AGE_YEARS,897,Principal
EXT_SOURCE_3,840,Principal
prev_amt_annuity_mean,825,Periférica
prev_days_decision_mean,782,Periférica
EXT_SOURCE_1,775,Principal
EXT_SOURCE_MEAN,771,Principal
DAYS_EMPLOYED,741,Principal
bureau_debt_ratio_mean,710,Periférica
prev_amt_credit_max,669,Periférica
YEARS_ID_PUBLISH,668,Principal
bureau_days_credit_max,656,Periférica
bureau_amt_credit_sum,623,Periférica
EXT_SOURCE_STD,615,Principal
prev_credit_app_ratio,608,Periférica
AMT_ANNUITY,594,Principal
EXT_SOURCE_2,584,Principal
EXT_SOURCE_PRODUCT,582,Principal
YEARS_REGISTRATION,574,Principal
bureau_days_credit_mean,570,Periférica
ANNUITY_INCOME_RATIO,550,Principal
bureau_days_credit_std,543,Periférica
prev_amt_credit_mean,538,Periférica
EXT_SOURCE_MAX,531,Principal
inst_delay_trend,528,Periférica
EXT_SOURCE_MIN,511,Principal
bureau_amt_debt_sum,510,Periférica
YEARS_EMPLOYED,508,Principal
LOAN_VALUE_GAP,496,Principal
CREDIT_INCOME_RATIO,483,Principal
OWN_CAR_AGE,482,Principal
REGION_POPULATION_RELATIVE,465,Principal
AMT_CREDIT,458,Principal
AMT_GOODS_PRICE,458,Principal
inst_delay_mean_12m,451,Periférica
prev_approval_rate,450,Periférica
bureau_amt_overdue_mean,446,Periférica
CREDIT_GOODS_RATIO,432,Principal
inst_delay_std_12m,407,Periférica
inst_delay_std_6m,406,Periférica
prev_refusal_rate,399,Periférica
INCOME_PER_MEMBER,384,Principal
inst_delay_max_12m,369,Periférica
inst_delay_mean_6m,355,Periférica
inst_delay_std_3m,352,Periférica
bureau_active_ratio,328,Periférica
inst_delay_mean_3m,325,Periférica
inst_delay_max_3m,293,Periférica
inst_delay_max_6m,287,Periférica
ORGANIZATION_TYPE,278,Principal
bureau_overdue_ratio_mean,251,Periférica
AMT_INCOME_TOTAL,251,Principal
HOUR_APPR_PROCESS_START,246,Principal
NAME_EDUCATION_TYPE,224,Principal
prev_n_approved,219,Periférica
TOTALAREA_MODE,212,Principal
CODE_GENDER,199,Principal
inst_pay_ratio_std_12m,198,Periférica
bb_n_records_12m,194,Periférica
prev_flag_down_null_sum,190,Periférica
bureau_n_active,190,Periférica
cc_utilization_max_12m,189,Periférica
bureau_flag_annuity_null_sum,188,Periférica
bureau_flag_overdue_null_sum,183,Periférica
OCCUPATION_TYPE,180,Principal
cc_pay_ratio_mean_3m,178,Periférica
BASEMENTAREA_MODE,178,Principal
LANDAREA_MODE,177,Principal
YEARS_BEGINEXPLUATATION_MODE,175,Principal
inst_pay_ratio_min_12m,170,Periférica
prev_n_apps,164,Periférica
LIVINGAREA_MODE,162,Principal
NONLIVINGAREA_AVG,160,Principal
bureau_n_credits,160,Periférica
cc_pay_ratio_mean_12m,160,Periférica
COMMONAREA_AVG,160,Principal
cc_utilization_std_12m,158,Periférica
NONLIVINGAREA_MODE,157,Principal
NAME_FAMILY_STATUS,156,Principal
YEARS_BEGINEXPLUATATION_MEDI,155,Principal
LANDAREA_AVG,155,Principal
APARTMENTS_MODE,155,Principal
LIVINGAREA_AVG,152,Principal
BASEMENTAREA_AVG,152,Principal
WEEKDAY_APPR_PROCESS_START,150,Principal
inst_pay_ratio_std_3m,145,Periférica
cc_utilization_trend,142,Periférica
inst_pay_ratio_std_6m,136,Periférica
inst_pay_ratio_min_6m,133,Periférica
REGION_RATING_CLIENT_W_CITY,133,Principal
YEARS_BEGINEXPLUATATION_AVG,133,Principal
COMMONAREA_MODE,133,Principal
BASEMENTAREA_MEDI,133,Principal
APARTMENTS_AVG,131,Principal
pos_n_12m,131,Periférica
AMT_REQ_CREDIT_BUREAU_YEAR,127,Principal
inst_pay_ratio_mean_12m,125,Periférica
cc_utilization_max_3m,123,Periférica
OBS_30_CNT_SOCIAL_CIRCLE,120,Principal
inst_underpaid_sum_12m,120,Periférica
cc_utilization_max_6m,120,Periférica
LIVINGAREA_MEDI,120,Principal
bb_n_records_6m,120,Periférica
LANDAREA_MEDI,119,Principal
COMMONAREA_MEDI,115,Principal
APARTMENTS_MEDI,115,Principal
YEARS_BUILD_MODE,114,Principal
AMT_REQ_CREDIT_BUREAU_QRT,110,Principal
LIVINGAPARTMENTS_MODE,109,Principal
YEARS_BUILD_AVG,108,Principal
cc_pay_ratio_mean_6m,106,Periférica
cc_utilization_std_6m,103,Periférica
cc_utilization_std_3m,101,Periférica
cc_utilization_mean_12m,100,Periférica
FLAG_DOCUMENT_3,99,Principal
NAME_INCOME_TYPE,99,Principal
LIVINGAPARTMENTS_AVG,98,Principal
NONLIVINGAREA_MEDI,97,Principal
bb_n_records_3m,90,Periférica
DEF_60_CNT_SOCIAL_CIRCLE,87,Principal
inst_pay_ratio_mean_3m,87,Periférica
pos_dpd_def_mean_12m,82,Periférica
inst_n_12m,81,Periférica
